Category Name,Category Link
Supermarket,https://www.jumia.com.eg/groceries/
Fashion,https://www.jumia.com.eg/category-fashion-by-jumia/
Health & Beauty,https://www.jumia.com.eg/health-beauty/
Baby Products,https://www.jumia.com.eg/baby-products/
Phones & Tablets,https://www.jumia.com.eg/phones-tablets/
Home & Office,https://www.jumia.com.eg/home-office/
Electronics,https://www.jumia.com.eg/electronics/
Computing,https://www.jumia.com.eg/computing/
Sporting Goods,https://www.jumia.com.eg/sporting-goods/
Gaming,https://www.jumia.com.eg/video-games/
Automobile,https://www.jumia.com.eg/automobile/
