Category,Sub-Category,Products Link
Supermarket,Household Supplies,https://www.jumia.com.eg/household-cleaning/
Supermarket,Dried food & Nuts,https://www.jumia.com.eg/mlp-dried-fruits-nuts/
Fashion,Women's Shoes,https://www.jumia.com.eg/womens-shoes/
Fashion,T-shirts,https://www.jumia.com.eg/mens-t-shirts/
Fashion,Sneakers,https://www.jumia.com.eg/men-sneakers/
Fashion,Baby Boy's Sets,https://www.jumia.com.eg/baby-boys-clothing-sets-d/
Fashion,Baby Girl's Sets,https://www.jumia.com.eg/baby-girls-clothing-sets/
Health & Beauty,Micellar water family,https://www.jumia.com.eg/mlp-garnier-micellar-vit-c/
Health & Beauty,Women's Fragrance,https://www.jumia.com.eg/womens-fragrances/
Health & Beauty,Men's Fragrance,https://www.jumia.com.eg/mens-fragrances/
Health & Beauty,Hair Dryers,https://www.jumia.com.eg/hair-care-hair-dryers-accessories-d/
Health & Beauty,Oral Care,https://www.jumia.com.eg/oral-care/
Baby Products,Diapers,https://www.jumia.com.eg/baby-disposable-diapers/
Baby Products,Potty Training,https://www.jumia.com.eg/baby-potty-training/
Baby Products,Bath Time,https://www.jumia.com.eg/baby-bathing-skin-care/
Baby Products,Bathing Tubs,https://www.jumia.com.eg/baby-bath-tubs-seats/
Baby Products,Toddler Toys,https://www.jumia.com.eg/baby-toddler-toys/
Phones & Tablets,Oppo Phones,https://www.jumia.com.eg/mlp-oppo-store/
Phones & Tablets,Smart Phones | Best Deals,https://www.jumia.com.eg/phones-tablets/?tag=Merch_197
Phones & Tablets,Smart Watches,https://www.jumia.com.eg/smart-watches/
Phones & Tablets,Tablets,https://www.jumia.com.eg/tablets/
Phones & Tablets,Headphones,https://www.jumia.com.eg/electronics-headphone/
Home & Office,Washing Machines,https://www.jumia.com.eg/washers-dryers-washers/
Home & Office,Water Heaters,https://www.jumia.com.eg/water-heaters/
Home & Office,Cookers,https://www.jumia.com.eg/home-cooking-appliances-cookers/
Home & Office,Blenders,https://www.jumia.com.eg/blenders/
Home & Office,Tools & Home Improvement,https://www.jumia.com.eg/tools-home-improvement/
Electronics,TVs starting 1480,https://www.jumia.com.eg/led-lcd-tvs/
Electronics,Portable Speakers,https://www.jumia.com.eg/portable-speakers-docks/
Electronics,DSLR Cameras starting 2999,https://www.jumia.com.eg/digital-slr-cameras/
Computing,Laptops | Up to 20% OFF,https://www.jumia.com.eg/laptops/
Computing,Storages | Up to 40% OFF,https://www.jumia.com.eg/computer-data-storage/
Computing,Computer Accessories,https://www.jumia.com.eg/computer-accessories/
Computing,Headsets,https://www.jumia.com.eg/pc-game-headsets-d/
Computing,Printers | Up to 30% OFF,https://www.jumia.com.eg/printers/
Computing,Softwares,https://www.jumia.com.eg/softwares/
Sporting Goods,Men's Sports Wear,https://www.jumia.com.eg/mens-tank-tops/
Sporting Goods,Women's Sports Wear,https://www.jumia.com.eg/womens-active-clothing/
Sporting Goods,Men's Sneakers,https://www.jumia.com.eg/mens-athletic-shoes/
Sporting Goods,Women's Sneakers,https://www.jumia.com.eg/womens-sneakers/
Sporting Goods,Cycling,https://www.jumia.com.eg/sporting-goods-outdoor-adventure-cycling/
Gaming,PS5 Consoles,https://www.jumia.com.eg/playstation-5-consoles/
Gaming,PS4 Consoles,https://www.jumia.com.eg/playstation4-consoles/
Gaming,PS4 Games,https://www.jumia.com.eg/playstation-4-games/
Gaming,Xbox Accessories,https://www.jumia.com.eg/xboxone-accessories/
Gaming,Gaming Keyboards,https://www.jumia.com.eg/pc-gaming-keyboards-d/
Automobile,Car Oils,https://www.jumia.com.eg/automobile-oils/
Automobile,Power & Battery,https://www.jumia.com.eg/automobile-power-battery/
Automobile,Tools & Equipment,https://www.jumia.com.eg/automobile-tools-equipment/
Automobile,Motorcycle & Powersports,https://www.jumia.com.eg/motorcycle-powersports/
